时段                 笔数     胜率     平均盈亏%     平均潜在%     捕获率     平均持仓
----------------------------------------------------------------------
09:30-09:40        24  66.7%    +1.60%    +5.22%   +7.8%    18.6m
09:40-09:50        17  29.4%    -0.31%    +2.12%  -75.8%    51.6m
09:50-10:00        20  45.0%    -0.25%    +3.93%  +23.9%    28.7m
10:00-10:15        27  29.6%    -0.96%    +0.94%  +18.2%    33.7m
10:15-10:30        20  35.0%    -0.80%    +1.23%   -0.7%    13.4m
10:30-11:00        14  21.4%    -1.16%    +1.24%  +11.7%    58.7m
11:00+             24  29.2%    -0.70%    +2.32%  +11.8%    80.7m

=== 09:30-09:40 WIN cases ===
  HK.00068 2026-04-23 buy@38.2 sell@38.48 +0.73% hold=1.9min
  HK.00068 2026-04-23 buy@38.8 sell@39.2 +1.03% hold=1.0min
  HK.00068 2026-04-23 buy@39.5 sell@39.7 +0.51% hold=0.9min
  HK.00068 2026-04-28 buy@22.88 sell@25.04 +9.44% hold=16.6min
  HK.01236 2026-05-11 buy@54.7 sell@64.6 +18.10% hold=20.4min
  HK.01357 2026-05-08 buy@5.05 sell@5.21 +3.17% hold=11.4min
  HK.01384 2026-05-08 buy@71.2 sell@72.0 +1.12% hold=0.8min
  HK.01384 2026-05-08 buy@73.65 sell@74.85 +1.63% hold=1.3min
  HK.01879 2026-04-28 buy@869.0 sell@898.0 +3.34% hold=4.2min
  HK.02166 2026-05-06 buy@3.86 sell@3.9699999999999998 +2.85% hold=217.6min
  HK.02577 2026-04-22 buy@66.35 sell@66.9 +0.83% hold=38.4min
  HK.02635 2026-04-22 buy@47.16 sell@49.44 +4.83% hold=2.0min
  HK.02635 2026-05-05 buy@23.42 sell@24.02 +2.56% hold=23.6min
  HK.02661 2026-05-05 buy@64.3 sell@66.2 +2.95% hold=11.6min
  HK.02706 2026-04-09 buy@50.6 sell@51.6 +1.98% hold=20.6min
  HK.02706 2026-05-08 buy@50.6 sell@54.2 +7.11% hold=8.1min

=== 09:30-09:40 LOSS cases ===
  HK.00068 2026-04-23 buy@39.9 sell@39.58 -0.80% hold=0.8min
  HK.00068 2026-04-28 buy@24.9 sell@23.9 -4.02% hold=14.7min
  HK.00068 2026-05-05 buy@26.4 sell@26.12 -1.06% hold=1.1min
  HK.02635 2026-04-29 buy@32.0 sell@31.14 -2.69% hold=7.1min
  HK.02661 2026-04-27 buy@53.25 sell@49.54 -6.97% hold=15.7min
  HK.02706 2026-02-24 buy@119.0 sell@113.1 -4.96% hold=5.2min
  HK.03690 2026-03-20 buy@81.7 sell@79.35 -2.88% hold=18.7min
  HK.09626 2026-04-29 buy@171.8 sell@171.1 -0.41% hold=2.9min
